LOT_ID,VENDOR_SCRIBE,WAFER_NUMBER,PRODUCT_GROUP_ID,BIN_NUMBER,BIN_TYPE,DIE_X,DIE_Y,BIN_COLOR,INK_FLAG
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,19,1,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,10,6,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,10,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,9,6,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,9,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,8,6,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,12,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,11,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,16,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,16,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,15,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,15,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,18,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,18,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,17,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,17,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,28,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,28,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,27,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,27,4,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,30,5,#00FF00,1
LOTYPA012.000,WAFEASAUZFP78076,1,Product1,1,S,30,4,#00FF00,1
